,parent_id,district,districtId,label,municipality,message_id,text,createdOn,predicted
0,23s62w,Øst Politidistrikt,202,0,Indre Østfold,23s62w-0,03:57 fikk politiet melding om flere personer inne på området til Indre Østfold Gjenvinning. De tre hadde tatt seg inn på området og stjal felger som de lastet over på en utenlandsk registrert lastebil. Fort.  Politiet rykket ut med flere enheter og har pågrepet tre polske borgere siktet for innbrudd og tyveri.,2023-07-28T04:08:20.139574+00:00,3
2,23ppkl,Sør-Øst Politidistrikt,204,5,Skien,23ppkl-0,07:51 Politiet er på stedet etter melding om en voldshendelse. Ingen er alvorlig skadet. En mann i 30-åra er besluttet pågrepet. Han er siktet for å ha utøvd vold mot en kvinne i 20-åra. Sak opprettes.,2023-07-01T06:56:26.9112867+00:00,6
7,2346b9,Agder Politidistrikt,205,11,Kristiansand,2346b9-0,Kl 0130. Politibåten stanset båt i byfjorden der fører mistenkes for promillekjøring. Prøve sikret og sak blir opprettet. ,2023-08-05T00:31:05.7089447+00:00,7
12,23zf4c,Sør-Øst Politidistrikt,204,4,Horten,23zf4c-0,"Nødetatene rykker ut etter melding om trafikkulykke. En MC har kjørt inn i en bil bakfra. 

Meldingen oppdateres.  Det har sittet 2 personer på MC en. De fremstår ikke som hardt skadd. Det er ikke trafikale problemer på stedet. Politiet er på stedet. Passasjer på MC, jente i tenårene, blir kjørt til legevakta for undersøkelse og behandling. Nødetatene er ferdig på stedet. 

Politiet anmelder saken.",2023-10-14T15:55:07.0418588+00:00,1
15,23tm32,Vest Politidistrikt,207,1,Kvinnherad,23tm32-0,kl 1630:  mann i 40-åra meldt for alkoholpåverka køyring. ,2023-10-02T18:14:06.7943708+00:00,7
16,233lcm,Sør-Øst Politidistrikt,204,7,Drammen,233lcm-0,"Kl.03:24 fikk politiet melding om slagsmål på et utested. En mann i 40-årene var utsatt for vold. Politiet fikk, etter et kort søk i området, kontroll på en mann i 20-årene. 20-åringen er pågrepet og satt i arrest. 40-åringen er kjørt Drammen sykehus. Politiet oppretter sak.",2023-07-21T02:42:51.3422863+00:00,5
18,23mdbv,Sør-Øst Politidistrikt,204,5,Larvik,23mdbv-0,Denne meldingen har blitt trukket.,2023-07-06T22:08:47.5283824+00:00,1
21,23lb0k,Sør-Øst Politidistrikt,204,1,Tønsberg,23lb0k-0,"14:35 Nødetatene på vei etter melding om trafikkulykke. Tre biler involvert. Store materielle skader og trolig personskade. Trafikken står helt stille på begge sider av ulykken. Oppdateres. Nødetatene er fremme på stedet. Ambulansepersonell følger opp de involverte og politiet undersøker hendelsesforløpet. Bilberger er rekvirert. Redningshelikopter har ankommet stedet. Jarlsberglinna er sperret på stedet. Omkjøring ved Barkåker og ved Jarlsberg Hovedgård. Mann i 60 årene er fløyet til Ullevål sykehus med alvorlige skader. Mannen satt i bil to som  først ble påkjørt bakfra for deretter å bli truffet av et motgående kjøretøy. Fører i bilen som kjørte i bil 2 bakfra blir anmeldt for å ha forårsaket ulykken. Føreren, mann i 30 årene erkjente forholdet. Førerkortet hans ble beslaglagt. Dette samtykket han ikke til. Bilberger er på stedet. Veien er åpnet og nødetatene ferdig på stedet.",2023-08-11T12:43:33.980059+00:00,4
33,23z7v2,Trøndelag Politidistrikt,209,1,Trondheim,23z7v2-0,Melding om scootervelt ved Eberg skole. Vi er på veg til stedet sammen med ambulanse.,2023-10-07T11:56:51.3055423+00:00,7
39,23k052,Agder Politidistrikt,205,7,Kristiansand,23k052-0,"Kl. 0312. Melding om en mann som roper på hjelp i Suldalen. Politiet har vært på stedet. Hjulpet mannen, som hadde gått seg fast i bratt terreng, og gitt ham skyss til bedre egnet sted å gå. ",2023-10-16T01:55:03.0080899+00:00,5
42,23jb93,Sør-Øst Politidistrikt,204,4,Skien,23jb93-0,"kl 01:26 - Politi og ambulanse rykket ut til stedet etter melding om trafikkulykke hvor en el-sparkesykkel skulle ha kjørt inn i siden på en bil. El-sparkesyklist, mann i 30 årene ble kjørt akuttmottaket for undersøkelse. Politiet oppretter sak.",2023-06-10T23:54:25.2062107+00:00,1
43,23rk6w,Sør-Øst Politidistrikt,204,3,Skien,23rk6w-0,kl 18:02 - Politiet kontrollerte en personbil ført av en mann i 30 årene. Mannen mistenkes for kjøring i ruspåvirket tilstand og kjøring uten gyldig førerkort. Han ble fremstilt for prøvetaking og anmeldes for forholdene. ,2023-06-19T17:23:52.459412+00:00,1
51,23hxj5,Finnmark Politidistrikt,212,1,Sør-Varanger,23hxj5-0,: kl. 1110: Politiet har rutinemessig foretatt en alkotest av besetningen på sørgående fly fra Kirkenes i formiddag. Alt ok. ,2023-10-24T09:46:43.6310964+00:00,7
57,23bv5d,Sør-Øst Politidistrikt,204,5,Skien,23bv5d-0,09:30 Melding om en alarm i området som har gått lenge. Patruljen på stedet fant kilden til alarmen. En bil som står utenfor et bilskadesenter. Ikke tegn til innbrudd. Vi har foreløpig ikke lykkes med å få kontakt med bileier eller bilskadesenteret.,2023-05-28T08:58:55.6849093+00:00,0
72,237tqp,Møre og Romsdal Politidistrikt,208,4,Ålesund,237tqp-0,Naudetatane har rykka ut til eit trafikkuhell ved innslaget til Ellingsøytunnelen. Kollisjon mellom to bilar. Det er ikkje opplyst om alvorlig personskade. To personar involvert. Uhellet har skjedd på Ålesundsida av tunnelen. Trafikken går som normalt. Naudetatane har avslutta på staden. Den eine bilføraren er frakta til legevakt for undersøking. Årsak til uhellet er brot på vikeplikt.,2023-10-21T12:10:57.1331034+00:00,1
75,23jrsc,Trøndelag Politidistrikt,209,6,Trondheim,23jrsc-0,Gjest slo vekter på utested i Trondheim sentrum. Vekter kjørt til legevakta. Mann 20 år kjørt inn i arresten. Mannen anmeldes for ordensforstyrrelse. Vekter vil anmelde voldshendelsen i ettertid.,2023-10-14T00:58:52.9858984+00:00,5
78,23rcbh,Sør-Øst Politidistrikt,204,3,Drammen,23rcbh-0,kl12:27 - Politiet har vært på stedet og gjennomført en åstedsundersøkelse i en bolig under renovasjon. Det skal ha blitt borttatt håndverktøy fra stedet. Hendelsen skal ha skjedd i løpet av siste døgn. Politiet har avslutter på stedet og oppretter sak. ,2023-10-24T11:52:52.119227+00:00,0
81,239wpz,Sør-Øst Politidistrikt,204,1,Øvre Eiker,239wpz-0,"14:05 Nødetater rykker ut til trafikkulykke: En bil har kollidert med en buss. Bussen står i grøfta. Mange i bussen, men de fremstår uskadde. En person i bilen, våken og prater, ukjent skadeomfang. Oppdateres.  Fører av bilen måtte ha hjelp av brannvesenet for å komme ut av bilen, døren satt fast. Fører blir tatt hånd om av helse, ukjent skadeomfang, men våken. Passasjerer i bussen er allerede hentet over i en annen buss, ingen av de var skadet. Bilberger er på stedet og tar med både buss og bil.",2023-06-28T12:15:29.0439841+00:00,4
92,23fw55,Sør-Øst Politidistrikt,204,11,Larvik,23fw55-0,"Melding om båt som har kjørt på Tisleøya og havarert - flere personer i båten. Situasjonen er uavklart. Redningsskøyta har ankommet - og politibåten på vei. Øvrige nødetater er på landsiden. VI oppdaterer når vi har noe mer konkret.  Redningsskøyta frakter ambulansepersonell over til havaristen. Redningshelikopter er på vei. VI har kontroll på fire personer i/ved båten, to av dem fremstår skadet. Vi oppdaterer når vi har mer info. To uskadde og en skadd person fraktes til land av redningsskøyta. En person var fastklemt i båten, er frigjort nå. Blir kjørt fra stedet i redningshelikopter. Nødetatene leter etter en mulig femte person på stedet.  Dykkere vil bli satt i søk sammen med heli. Nødetatene har søkt nøye på land på øya og til vanns med overflatesøk og med dykkere - vi har ikke nå noen indikasjoner om at det var mer enn fire i den havarerte båten. I samarbeid med HRS avsluttes nå søket. Etterforskning fortsetter. Mistanke promillekjøring.",2023-08-06T01:06:05.6098812+00:00,12
