,parent_id,district,districtId,label,municipality,message_id,text,createdOn,predicted
0,23s62w,Øst Politidistrikt,202,0,Indre Østfold,23s62w-0,03:57 fikk politiet melding om flere personer inne på området til Indre Østfold Gjenvinning. De tre hadde tatt seg inn på området og stjal felger som de lastet over på en utenlandsk registrert lastebil. Fort.  Politiet rykket ut med flere enheter og har pågrepet tre polske borgere siktet for innbrudd og tyveri.,2023-07-28T04:08:20.139574+00:00,3
2,23ppkl,Sør-Øst Politidistrikt,204,5,Skien,23ppkl-0,07:51 Politiet er på stedet etter melding om en voldshendelse. Ingen er alvorlig skadet. En mann i 30-åra er besluttet pågrepet. Han er siktet for å ha utøvd vold mot en kvinne i 20-åra. Sak opprettes.,2023-07-01T06:56:26.9112867+00:00,6
12,23zf4c,Sør-Øst Politidistrikt,204,4,Horten,23zf4c-0,"Nødetatene rykker ut etter melding om trafikkulykke. En MC har kjørt inn i en bil bakfra. 

Meldingen oppdateres.  Det har sittet 2 personer på MC en. De fremstår ikke som hardt skadd. Det er ikke trafikale problemer på stedet. Politiet er på stedet. Passasjer på MC, jente i tenårene, blir kjørt til legevakta for undersøkelse og behandling. Nødetatene er ferdig på stedet. 

Politiet anmelder saken.",2023-10-14T15:55:07.0418588+00:00,1
16,233lcm,Sør-Øst Politidistrikt,204,7,Drammen,233lcm-0,"Kl.03:24 fikk politiet melding om slagsmål på et utested. En mann i 40-årene var utsatt for vold. Politiet fikk, etter et kort søk i området, kontroll på en mann i 20-årene. 20-åringen er pågrepet og satt i arrest. 40-åringen er kjørt Drammen sykehus. Politiet oppretter sak.",2023-07-21T02:42:51.3422863+00:00,5
18,23mdbv,Sør-Øst Politidistrikt,204,5,Larvik,23mdbv-0,Denne meldingen har blitt trukket.,2023-07-06T22:08:47.5283824+00:00,1
21,23lb0k,Sør-Øst Politidistrikt,204,1,Tønsberg,23lb0k-0,"14:35 Nødetatene på vei etter melding om trafikkulykke. Tre biler involvert. Store materielle skader og trolig personskade. Trafikken står helt stille på begge sider av ulykken. Oppdateres. Nødetatene er fremme på stedet. Ambulansepersonell følger opp de involverte og politiet undersøker hendelsesforløpet. Bilberger er rekvirert. Redningshelikopter har ankommet stedet. Jarlsberglinna er sperret på stedet. Omkjøring ved Barkåker og ved Jarlsberg Hovedgård. Mann i 60 årene er fløyet til Ullevål sykehus med alvorlige skader. Mannen satt i bil to som  først ble påkjørt bakfra for deretter å bli truffet av et motgående kjøretøy. Fører i bilen som kjørte i bil 2 bakfra blir anmeldt for å ha forårsaket ulykken. Føreren, mann i 30 årene erkjente forholdet. Førerkortet hans ble beslaglagt. Dette samtykket han ikke til. Bilberger er på stedet. Veien er åpnet og nødetatene ferdig på stedet.",2023-08-11T12:43:33.980059+00:00,4
25,234rfg,Innlandet Politidistrikt,203,5,Gjøvik,234rfg-0,"Mann i 20-årene viste fingeren til patruljen, nektet deretter å oppgi personalia. Anmeldes for dette. ",2023-09-03T00:50:48.1803865+00:00,7
39,23k052,Agder Politidistrikt,205,7,Kristiansand,23k052-0,"Kl. 0312. Melding om en mann som roper på hjelp i Suldalen. Politiet har vært på stedet. Hjulpet mannen, som hadde gått seg fast i bratt terreng, og gitt ham skyss til bedre egnet sted å gå. ",2023-10-16T01:55:03.0080899+00:00,5
43,23rk6w,Sør-Øst Politidistrikt,204,3,Skien,23rk6w-0,kl 18:02 - Politiet kontrollerte en personbil ført av en mann i 30 årene. Mannen mistenkes for kjøring i ruspåvirket tilstand og kjøring uten gyldig førerkort. Han ble fremstilt for prøvetaking og anmeldes for forholdene. ,2023-06-19T17:23:52.459412+00:00,1
51,23hxj5,Finnmark Politidistrikt,212,1,Sør-Varanger,23hxj5-0,: kl. 1110: Politiet har rutinemessig foretatt en alkotest av besetningen på sørgående fly fra Kirkenes i formiddag. Alt ok. ,2023-10-24T09:46:43.6310964+00:00,7
57,23bv5d,Sør-Øst Politidistrikt,204,5,Skien,23bv5d-0,09:30 Melding om en alarm i området som har gått lenge. Patruljen på stedet fant kilden til alarmen. En bil som står utenfor et bilskadesenter. Ikke tegn til innbrudd. Vi har foreløpig ikke lykkes med å få kontakt med bileier eller bilskadesenteret.,2023-05-28T08:58:55.6849093+00:00,7
70,23tnm5,Agder Politidistrikt,205,5,Kristiansand,23tnm5-0,"Kl 0214. Politiet har rykket ut til utested i Tollbodgata. En person er slått ned. Våken og bevisst nå, men kan ha vært bevisstløs en kort periode. Vil bli sjekket av helsepersonell som er på vei mot stedet.  Politiet vil forsøke å innhente opplysninger om hva som har skjedd. Ingen mistenkte, den som ble slått ned ønsker ikke å anmelde.",2023-07-26T00:24:42.2838573+00:00,6
72,237tqp,Møre og Romsdal Politidistrikt,208,4,Ålesund,237tqp-0,Naudetatane har rykka ut til eit trafikkuhell ved innslaget til Ellingsøytunnelen. Kollisjon mellom to bilar. Det er ikkje opplyst om alvorlig personskade. To personar involvert. Uhellet har skjedd på Ålesundsida av tunnelen. Trafikken går som normalt. Naudetatane har avslutta på staden. Den eine bilføraren er frakta til legevakt for undersøking. Årsak til uhellet er brot på vikeplikt.,2023-10-21T12:10:57.1331034+00:00,1
75,23jrsc,Trøndelag Politidistrikt,209,6,Trondheim,23jrsc-0,Gjest slo vekter på utested i Trondheim sentrum. Vekter kjørt til legevakta. Mann 20 år kjørt inn i arresten. Mannen anmeldes for ordensforstyrrelse. Vekter vil anmelde voldshendelsen i ettertid.,2023-10-14T00:58:52.9858984+00:00,5
81,239wpz,Sør-Øst Politidistrikt,204,1,Øvre Eiker,239wpz-0,"14:05 Nødetater rykker ut til trafikkulykke: En bil har kollidert med en buss. Bussen står i grøfta. Mange i bussen, men de fremstår uskadde. En person i bilen, våken og prater, ukjent skadeomfang. Oppdateres.  Fører av bilen måtte ha hjelp av brannvesenet for å komme ut av bilen, døren satt fast. Fører blir tatt hånd om av helse, ukjent skadeomfang, men våken. Passasjerer i bussen er allerede hentet over i en annen buss, ingen av de var skadet. Bilberger er på stedet og tar med både buss og bil.",2023-06-28T12:15:29.0439841+00:00,4
92,23fw55,Sør-Øst Politidistrikt,204,11,Larvik,23fw55-0,"Melding om båt som har kjørt på Tisleøya og havarert - flere personer i båten. Situasjonen er uavklart. Redningsskøyta har ankommet - og politibåten på vei. Øvrige nødetater er på landsiden. VI oppdaterer når vi har noe mer konkret.  Redningsskøyta frakter ambulansepersonell over til havaristen. Redningshelikopter er på vei. VI har kontroll på fire personer i/ved båten, to av dem fremstår skadet. Vi oppdaterer når vi har mer info. To uskadde og en skadd person fraktes til land av redningsskøyta. En person var fastklemt i båten, er frigjort nå. Blir kjørt fra stedet i redningshelikopter. Nødetatene leter etter en mulig femte person på stedet.  Dykkere vil bli satt i søk sammen med heli. Nødetatene har søkt nøye på land på øya og til vanns med overflatesøk og med dykkere - vi har ikke nå noen indikasjoner om at det var mer enn fire i den havarerte båten. I samarbeid med HRS avsluttes nå søket. Etterforskning fortsetter. Mistanke promillekjøring.",2023-08-06T01:06:05.6098812+00:00,12
106,23t26p,Sør-Øst Politidistrikt,204,4,Horten,23t26p-0,"Nødetatene har rykket ut til en trafikkulykke mellom mc og syklist - tre personer skal være involvert. Oppdateres.  MC fører har veltet og sklidd inn i syklisten og veltet. Veien er delvis sperret. En person blir sett til av ambulansepersonell. Politiet etterforsker hendelsen på stedet nå. En av syklistene, en lokal mann i 50-årene blir kjørt sykehus i ambulanse - ukjent skadegrad for politiet. MC fører - en lokal mann i 30-årene har fått status som mistenkt for hendelsen, blir avhørt nå. Vi har avsluttet på stedet. Førerkortet til mc fører ble ikke beslaglagt. Patruljen har opprettet sak.",2023-10-12T14:52:39.9022527+00:00,1
120,2306l0,Agder Politidistrikt,205,7,Lillesand,2306l0-0,"Kl 0045, melding om beruset mann som gikk inn på privat eiendom for å bade i en jacuzzi. Nektet å fjerne seg fra stedet når melder snakket til han. Patrulje har bortvist vedkommende fra Lillesand sentrum til klokken 0800. ",2023-08-12T23:42:42.9633755+00:00,5
125,230l03,Vest Politidistrikt,207,0,Bergen,230l03-0,"Politiet fått to meldingar om tjuveri frå to ulåste leilegheiter i #Strømgaten og #Hanstanksgate. Tjuveria har skjedd i løpet av natta til laurdag. Stole diverse personlege gjenstandar. Pr no ukjende gjerningspersonar.
",2023-08-05T08:31:36.078305+00:00,3
