,parent_id,district,districtId,label,municipality,message_id,text,createdOn,predicted
2,23ppkl,Sør-Øst Politidistrikt,204,5,Skien,23ppkl-0,07:51 Politiet er på stedet etter melding om en voldshendelse. Ingen er alvorlig skadet. En mann i 30-åra er besluttet pågrepet. Han er siktet for å ha utøvd vold mot en kvinne i 20-åra. Sak opprettes.,2023-07-01T06:56:26.9112867+00:00,6
9,2368tj,Trøndelag Politidistrikt,209,5,Trondheim,2368tj-0,Melding om pågående trusselsituasjon der en person ble truet med en hammer. Til sammen 3 personer involvert løp fra stedet. Melder oppfattet situasjonen som truende. Politiet bevæpnet seg og fikk etter kort tid kontroll på 3 personer. Oppdateres.  Alle involverte godt kjente av politiet. Ingen er skadd. Ingen ønsker å si noe til politiet. Politiet avslutter på stedet.,2023-07-12T03:39:50.4956792+00:00,7
12,23zf4c,Sør-Øst Politidistrikt,204,4,Horten,23zf4c-0,"Nødetatene rykker ut etter melding om trafikkulykke. En MC har kjørt inn i en bil bakfra. 

Meldingen oppdateres.  Det har sittet 2 personer på MC en. De fremstår ikke som hardt skadd. Det er ikke trafikale problemer på stedet. Politiet er på stedet. Passasjer på MC, jente i tenårene, blir kjørt til legevakta for undersøkelse og behandling. Nødetatene er ferdig på stedet. 

Politiet anmelder saken.",2023-10-14T15:55:07.0418588+00:00,1
15,23tm32,Vest Politidistrikt,207,1,Kvinnherad,23tm32-0,kl 1630:  mann i 40-åra meldt for alkoholpåverka køyring. ,2023-10-02T18:14:06.7943708+00:00,5
16,233lcm,Sør-Øst Politidistrikt,204,7,Drammen,233lcm-0,"Kl.03:24 fikk politiet melding om slagsmål på et utested. En mann i 40-årene var utsatt for vold. Politiet fikk, etter et kort søk i området, kontroll på en mann i 20-årene. 20-åringen er pågrepet og satt i arrest. 40-åringen er kjørt Drammen sykehus. Politiet oppretter sak.",2023-07-21T02:42:51.3422863+00:00,5
17,23hcqc,Agder Politidistrikt,205,1,Vennesla,23hcqc-0,Politiet på stedet etter melding om personbil som har kjørt av veien. Bil tidligere i morges meldt inn stjålet fra Kristiansand sentrum. En person pågrepet. Ingen skade på person. Mistanke ruspåvirket kjøring og tyveri motorvogn.,2023-09-24T06:35:28.0760601+00:00,3
18,23mdbv,Sør-Øst Politidistrikt,204,5,Larvik,23mdbv-0,Denne meldingen har blitt trukket.,2023-07-06T22:08:47.5283824+00:00,1
21,23lb0k,Sør-Øst Politidistrikt,204,1,Tønsberg,23lb0k-0,"14:35 Nødetatene på vei etter melding om trafikkulykke. Tre biler involvert. Store materielle skader og trolig personskade. Trafikken står helt stille på begge sider av ulykken. Oppdateres. Nødetatene er fremme på stedet. Ambulansepersonell følger opp de involverte og politiet undersøker hendelsesforløpet. Bilberger er rekvirert. Redningshelikopter har ankommet stedet. Jarlsberglinna er sperret på stedet. Omkjøring ved Barkåker og ved Jarlsberg Hovedgård. Mann i 60 årene er fløyet til Ullevål sykehus med alvorlige skader. Mannen satt i bil to som  først ble påkjørt bakfra for deretter å bli truffet av et motgående kjøretøy. Fører i bilen som kjørte i bil 2 bakfra blir anmeldt for å ha forårsaket ulykken. Føreren, mann i 30 årene erkjente forholdet. Førerkortet hans ble beslaglagt. Dette samtykket han ikke til. Bilberger er på stedet. Veien er åpnet og nødetatene ferdig på stedet.",2023-08-11T12:43:33.980059+00:00,4
33,23z7v2,Trøndelag Politidistrikt,209,1,Trondheim,23z7v2-0,Melding om scootervelt ved Eberg skole. Vi er på veg til stedet sammen med ambulanse.,2023-10-07T11:56:51.3055423+00:00,5
43,23rk6w,Sør-Øst Politidistrikt,204,3,Skien,23rk6w-0,kl 18:02 - Politiet kontrollerte en personbil ført av en mann i 30 årene. Mannen mistenkes for kjøring i ruspåvirket tilstand og kjøring uten gyldig førerkort. Han ble fremstilt for prøvetaking og anmeldes for forholdene. ,2023-06-19T17:23:52.459412+00:00,1
47,2345sh,Agder Politidistrikt,205,1,Lillesand,2345sh-0,"En bil har rullet delvis ut i vannet ved en rasteplass innerst i Kaldvellfjorden. Det skal ikke være folk i bilen. Politiet bistår med bilberging etc.  Uvisst hva som har skjedd, men bilen begynte å trille da eier lukket igjen bagasjelokket. Ingen er skadet, ikke politisak.",2023-10-07T13:22:16.8001658+00:00,4
56,23q8cf,Innlandet Politidistrikt,203,6,Hamar,23q8cf-0,"Kl. 0232: En taxisjåfør har blitt slått av en overstadig beruset kunde. Kunden, en mann i 30-årene, er pågrepet. Taxisjåføren er fraktet til Hamar sykehus for behandling av skader.",2023-09-26T04:52:54.9890939+00:00,1
57,23bv5d,Sør-Øst Politidistrikt,204,5,Skien,23bv5d-0,09:30 Melding om en alarm i området som har gått lenge. Patruljen på stedet fant kilden til alarmen. En bil som står utenfor et bilskadesenter. Ikke tegn til innbrudd. Vi har foreløpig ikke lykkes med å få kontakt med bileier eller bilskadesenteret.,2023-05-28T08:58:55.6849093+00:00,0
63,23h151,Sør-Øst Politidistrikt,204,7,Lier,23h151-0,"Politiet har pågrepet en mann i 40-årene, etter skadeverk og trusler på en privatadresse. Mannen fremsatte trusler mot sin nabo, og kastet stein mot naboens adresse. Steinkastingen resulterte i en knust vindusrute.",2023-07-20T00:50:10.4614726+00:00,5
75,23jrsc,Trøndelag Politidistrikt,209,6,Trondheim,23jrsc-0,Gjest slo vekter på utested i Trondheim sentrum. Vekter kjørt til legevakta. Mann 20 år kjørt inn i arresten. Mannen anmeldes for ordensforstyrrelse. Vekter vil anmelde voldshendelsen i ettertid.,2023-10-14T00:58:52.9858984+00:00,5
81,239wpz,Sør-Øst Politidistrikt,204,1,Øvre Eiker,239wpz-0,"14:05 Nødetater rykker ut til trafikkulykke: En bil har kollidert med en buss. Bussen står i grøfta. Mange i bussen, men de fremstår uskadde. En person i bilen, våken og prater, ukjent skadeomfang. Oppdateres.  Fører av bilen måtte ha hjelp av brannvesenet for å komme ut av bilen, døren satt fast. Fører blir tatt hånd om av helse, ukjent skadeomfang, men våken. Passasjerer i bussen er allerede hentet over i en annen buss, ingen av de var skadet. Bilberger er på stedet og tar med både buss og bil.",2023-06-28T12:15:29.0439841+00:00,4
92,23fw55,Sør-Øst Politidistrikt,204,11,Larvik,23fw55-0,"Melding om båt som har kjørt på Tisleøya og havarert - flere personer i båten. Situasjonen er uavklart. Redningsskøyta har ankommet - og politibåten på vei. Øvrige nødetater er på landsiden. VI oppdaterer når vi har noe mer konkret.  Redningsskøyta frakter ambulansepersonell over til havaristen. Redningshelikopter er på vei. VI har kontroll på fire personer i/ved båten, to av dem fremstår skadet. Vi oppdaterer når vi har mer info. To uskadde og en skadd person fraktes til land av redningsskøyta. En person var fastklemt i båten, er frigjort nå. Blir kjørt fra stedet i redningshelikopter. Nødetatene leter etter en mulig femte person på stedet.  Dykkere vil bli satt i søk sammen med heli. Nødetatene har søkt nøye på land på øya og til vanns med overflatesøk og med dykkere - vi har ikke nå noen indikasjoner om at det var mer enn fire i den havarerte båten. I samarbeid med HRS avsluttes nå søket. Etterforskning fortsetter. Mistanke promillekjøring.",2023-08-06T01:06:05.6098812+00:00,12
98,23b6j8,Øst Politidistrikt,202,6,Lillestrøm,23b6j8-0,Kl. 0730 fikk politiet melding om en voldshendelse i Lillestrøm sentrum. En person er fraktet til Ahus med kuttskader i hode og hånd. Politiet har funnet åstedet for hendelsen og etterforsker nå saken. ,2023-10-02T06:59:30.5995855+00:00,5
106,23t26p,Sør-Øst Politidistrikt,204,4,Horten,23t26p-0,"Nødetatene har rykket ut til en trafikkulykke mellom mc og syklist - tre personer skal være involvert. Oppdateres.  MC fører har veltet og sklidd inn i syklisten og veltet. Veien er delvis sperret. En person blir sett til av ambulansepersonell. Politiet etterforsker hendelsen på stedet nå. En av syklistene, en lokal mann i 50-årene blir kjørt sykehus i ambulanse - ukjent skadegrad for politiet. MC fører - en lokal mann i 30-årene har fått status som mistenkt for hendelsen, blir avhørt nå. Vi har avsluttet på stedet. Førerkortet til mc fører ble ikke beslaglagt. Patruljen har opprettet sak.",2023-10-12T14:52:39.9022527+00:00,1
108,23nh68,Trøndelag Politidistrikt,209,12,Røyrvik,23nh68-0,"Familie har meldt bekymring rundt et familiemedlem i 80-årene som er på jakt i området mellom Namsvatnet og Rurukklumpen. Han er iført en knallrød skalljakke. Vi er på vei til området, og ønsker å bli kontaktet på 02800 dersom du har informasjon om vedkommende. Politiet har kommet i kontakt med mannen som er i god behold.",2023-09-13T06:17:42.9993387+00:00,7
120,2306l0,Agder Politidistrikt,205,7,Lillesand,2306l0-0,"Kl 0045, melding om beruset mann som gikk inn på privat eiendom for å bade i en jacuzzi. Nektet å fjerne seg fra stedet når melder snakket til han. Patrulje har bortvist vedkommende fra Lillesand sentrum til klokken 0800. ",2023-08-12T23:42:42.9633755+00:00,5
125,230l03,Vest Politidistrikt,207,0,Bergen,230l03-0,"Politiet fått to meldingar om tjuveri frå to ulåste leilegheiter i #Strømgaten og #Hanstanksgate. Tjuveria har skjedd i løpet av natta til laurdag. Stole diverse personlege gjenstandar. Pr no ukjende gjerningspersonar.
",2023-08-05T08:31:36.078305+00:00,3
