,Unnamed: 0,parent_id,district,districtId,label,municipality,message_id,text,createdOn,updatedOn
0,13404,238hf0,Agder Politidistrikt,205,9,Lindesnes,238hf0-0,"det går en oks på fv lang vågevatnet, politi forsøk å komm i kontakt med eier.",2023-07-26 10:00:54.997376600+00:00,
3,14077,233lcm,Sør-Øst Politidistrikt,204,1,Drammen,233lcm-0,"kl.: fikk politi melding om slagsmål på et utested. en mann i -år var utsatt for vold. politi fikk, ett et kort søk i området, kontroll på en mann i -årene. -åring er pågrep og satt i arrest. -åring er kjørt dramm sykehus.",2023-07-21 02:42:51.342286300+00:00,
9,13293,233ltf,Nordland Politidistrikt,210,7,Fauske,233ltf-0,søk ett savn bærplukk i områd tuvatoppen/storskarfjellet. det har gjennom natt blitt søkt med stor ressurs ett en dam i årene. hun ble sist sett ca. kl. . i går kveld. politi ber turgåer i områd om å vær oppmerksom på hvem de møt i området.,2023-07-27 04:50:41.641967400+00:00,
16,13545,23pr7w,Sør-Øst Politidistrikt,204,0,Tønsberg,23pr7w-0,"kl : - politi kontroller en personbil ført av en kvinn i årene. hun mistenk for kjøring i alkoholpåvirk tilstand. hun ble fremstilt for prøvetaking, fikk førerkort midlertid beslaglagt og blir anmeld for forholdet.",2023-07-25 03:15:14.967312800+00:00,
17,13434,232fmw,Agder Politidistrikt,205,6,Arendal,232fmw-0,"kl . politi har pågrep en person som hadd tatt seg inn i en bil, sannsynligvis i den hensikt å stjel den. kjør arrest og sak opprettes.",2023-07-26 00:17:03.466058+00:00,
19,10413,231jb6,Vest Politidistrikt,207,11,Bergen,231jb6-0,politi fikk melding klokk om båt som gikk på land i lav hast utenfor flesland. ukjent antall person ombord. redningsskøyt send mot stedet. hrs koordiner oppdraget.,2023-08-18 05:53:01.255832400+00:00,
22,3243,239bs7,Agder Politidistrikt,205,1,Risør,239bs7-0,melding om arbeidsulykke. en person skal ha falt fra litt høyd und arbeid. våk og ved bevissthet. politi og ambulans på vei.,2023-10-04 11:53:27.812812800+00:00,
26,8036,23xtj2,Sør-Øst Politidistrikt,204,7,Tinn,23xtj2-0,kl. : en kvinn i åren er redd ut med bruk av redningshelikopter. kvinn er dement og hadd forvill seg i området. kvinn var med venninn på hyttetur da hun hadd forvill seg.,2023-09-02 23:43:17.858662100+00:00,
27,12738,23wvhs,Nordland Politidistrikt,210,7,Vågan,23wvhs-0,vedr. fallulykk ved svolværgeita. det er hrs som led redningsarbeid på stedet. grunn fler samtid hend har verk de ell vi anledning til å snakk med medi nå. person som har falt er bevisst og redning heli løft ut person nå.,2023-07-31 21:33:46.375881800+00:00,
33,5164,238fr6,Trøndelag Politidistrikt,209,4,Trondheim,238fr6-0,"nødetat på vei til sammenstøt mellom to biler, trafikk går forbi i et felt. all involver er oppegående, ukjent skadegrad.",2023-09-21 13:57:04.068177400+00:00,
37,14804,2360fn,Agder Politidistrikt,205,1,Lindesnes,2360fn-0,politi båttjenest har stans båtfør som kjørt i berus tilstand. opprett sak.,2023-07-15 02:13:26.545963+00:00,
40,2978,2373f0,Vest Politidistrikt,207,7,Bergen,2373f0-0,nødetat rykk ut til berus mann som har vært i sjøen. tatt med av ambulans til legevakten. ikk tegn til andr person i sjøen. nødetat avslutt på sted nå.,2023-10-06 04:59:50.916964900+00:00,
45,5519,23skkb,Sør-Øst Politidistrikt,204,4,Tønsberg,23skkb-0,et kjøretøy skal ha trill ut i vann - uten at det var folk i bilen. nødetat rykk ut til sted - ing fremstår skadet. bil er tauet opp av vann igjen. politi gjør sin undersøk nå.,2023-09-19 07:20:50.938006400+00:00,
46,15995,237844,Sør-Øst Politidistrikt,204,3,Ål,237844-0,: melding fra en bebo som så at en mann tok ned og satt fyr på prid flagg som hang på flaggstang til ål kommunehus. gjerningsmann var bort da politi kom. et vitn som så hend ringt til politiet.,2023-07-01 00:51:00.098194400+00:00,
48,426,230b8l,Sør-Øst Politidistrikt,204,4,Midt-Telemark,230b8l-0,"politi er i lundeveg i bø ett melding om en bil som har kjørt inn i et bygg. det er ikk melding om skadd personer, og vi har kontakt med bileier. det er skad på vindu på et bygg. sak oppdater når vi vet mer.",2023-10-21 22:16:05.395079800+00:00,
54,1061,2331tr,Sør-Øst Politidistrikt,204,5,Sandefjord,2331tr-0,kl : - nødetat er på vei til sted ett melding om lekkasj fra en tankbil innehold prosessvann. lokalt industrivern er på stedet. det er ikk meld om personskader. oppdater når nødetat er fremm på sted,2023-10-18 06:08:47.897799500+00:00,
