category,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Andre hendelser,59,36,93,41,38,36,27,101,7,19,14,29,10,87
Arrangement,9,0,1,0,0,0,2,1,0,0,0,0,3,0
Brann,3,0,5,805,6,38,2,3,0,2,0,6,29,4
Dyr,0,0,3,0,9,24,2,63,0,0,2,2,0,3
Innbrudd,4,0,27,5,217,0,2,7,0,6,0,1,10,24
Redning,0,0,0,6,1,5,7,120,0,0,0,16,8,4
Ro og orden,1015,14,209,24,7,11,6,30,0,54,83,26,34,307
Savnet,0,0,1,0,1,0,0,79,0,0,0,0,0,1
Sjø,0,21,0,1,3,0,8,24,3,0,5,6,6,0
Skadeverk,6,0,3,1,15,1,1,4,0,3,0,2,2,15
Trafikk,10,1443,29,15,44,1255,27,22,1441,13,395,703,112,56
Tyveri,27,28,35,1,207,2,1,23,9,29,2,4,6,44
Ulykke,0,7,2,6,4,253,0,8,0,2,0,314,21,4
Voldshendelse,38,0,171,0,1,2,1,1,0,4,0,18,11,23
