parent_id,district,districtId,label,municipality,message_id,text,createdOn
230002,Sør-Øst Politidistrikt,204,3,Drammen,230002-0,kl 08:43 - UP kontrollerte en personbil ført av en mann i 60 årene. Mannen hadde ikke gyldig førerkort. Han ble anmeldt for forholdet. ,2023-09-08T06:57:36.3118899+00:00
23005d,Troms Politidistrikt,211,1,Harstad,23005d-0,@utrykningspol fremstiller en mann i 60 årene for bevissikring da han mistenkes å ha kjørt bil i alkoholpåvirket tilstand. Sak opprettes.,2023-08-01T10:33:36.1756318+00:00
23005v,Trøndelag Politidistrikt,209,5,Nærøysund,23005v-0,Politipatrulje kom over søsken som hadde knuffet med hverandre. Politiet måtte skille de to fra hverandre. Partene ble sendt i hver sin retning etter at de ble bortvist fra sentrum av patruljen. Begge to blir anmeldt for ordensforstyrrelse.,2023-10-15T01:07:11.8567208+00:00
230083,Agder Politidistrikt,205,5,Kristiansand,230083-0,Kl 0255. Politiet har bortvist en person fra sentrum etter å ha vært kranglete og hissig.  Viste seg at denne personen allerede var bortvist fra sentrum tidligere i natt. Blir innbragt og anmeldt for dette.,2023-08-05T01:10:00.3343163+00:00
23008k,Nordland Politidistrikt,210,1,Rana,23008k-0,Utrykningspolitiet har gjennomført kontroll. 1 bilfører har fått førerkortet beslaglagt etter måling på 97 km/t i 60-sone. I tillegg ble det utstedt 10 forenklede forelegg. ,2023-10-18T15:48:44.5218236+00:00
2300c4,Sør-Øst Politidistrikt,204,0,Skien,2300c4-0,"Patruljen har etterforsket innbrudd fra fem boder. Stjålet verktøy, kofferter, alkohol, mm. Vi har undersøkt og opprettet saker. ",2023-09-09T16:53:07.6193287+00:00
2300fw,Øst Politidistrikt,202,1,Enebakk,2300fw-0,"Politi og ambulanse på vei til Flateby etter melding om 12 år gammel syklist som er påkjørt av bil i lav hastighet. Syklist har meldt om smerter i bein og rygg. Syklist kjøres til Ahus for en sjekk. Betegnes som lettere skadd. Patruljen er ferdig på stedet og oppretter sak. På bakgrunn av vitnebeskrivelser, er det besluttet at fører av bil får beholde førerkortet sitt.",2023-09-12T17:15:56.0123489+00:00
2300kx,Innlandet Politidistrikt,203,2,Lillehammer,2300kx-0,Melding om brann i enebolig Torpavegen. Nødetater på vei til stedet. Oppdateres. Både hus og garasje brenner. Det er registrert en beboer på adressen. Vi har foreløpig ikke fått kontakt med vedkommende. Brannvesenet har kontroll på brannen. Det er ikke e fare for spredning. Bygningene kan ikke reddes. Vi har fortsatt ikke kontroll på beboer. Vi vil gjerne komme i kontakt med den/de som kan ha sett/snakket med beboer i det siste. Personen som ikke ble gjort rede for etter brannen er funnet. Han ble funnet i nærområdet etter søk med politihund. Han er hentet av ambulanse og blir ivaretatt av helsevesenet.,2023-10-17T00:03:59.5709018+00:00
2300m5,Sør-Øst Politidistrikt,204,1,Skien,2300m5-0,Politiet har beslaglagt førerkortet til en 16år gammel gutt på lett-MC. Målt til 67km/t i 30-sone. Sak opprettet.,2023-08-06T17:48:27.5131619+00:00
2300vr,Agder Politidistrikt,205,5,Kristiansand,2300vr-0,Mann bortvist fra sentrum etter å ha sparket i en politibil. Ingen skader på bilen. ,2023-10-14T00:11:42.9245038+00:00
23011m,Agder Politidistrikt,205,1,Lindesnes,23011m-0,"Trafikkulykke på E39 ved Mones, påkjørsel bakfra, begge kjøretøyene skal være fjernet fra veibanen. Uvisst om det er personskade, nødetatene er på vei.  De involverte sjekkes av ambulansepersonell på stedet. Kjøretøyene er fjernet fra veibanen og trafikken går som normalt forbi stedet. Lege på stedet opplyser at det ikke er personskade. Påkjørselen har skjedd i forholdsvis lav fart, partene fyller ut skademelding, politiet oppretter ikke sak.",2023-08-12T13:25:30.765815+00:00
