,parent_id,district,districtId,label,municipality,message_id,text,createdOn,updatedOn
6212,234tn4,Sør-Øst Politidistrikt,204,4,Sandefjord,234tn4-0,Kl. 19:03 - Nødetatene rykker ut etter melding om et trafikkuhell på Krokemoveien. To mopeder skal ha kollidert. Oppdateres når nødetatene er på stedet.,2023-09-14 17:08:42.905217100+00:00,
4558,23jnsd,Finnmark Politidistrikt,212,4,Sør-Varanger,23jnsd-0,Politiet har i dag gjennomført promillekontroll av besetning på en flyvning ved Kirkenes lufthavn. Ingen reaksjoner.,2023-09-25 09:37:20.044570+00:00,
16773,23jmb4,Sør-Øst Politidistrikt,204,4,Drammen,23jmb4-0,"Kl 12:11 Trafikkontroll hvor 6 førere fikk gebyr for manglende bruk av belte, og to førere fikk forenklet forelegg for bruk av håndholdt mobiltelefon.. ",2023-06-14 10:32:19.800633200+00:00,
11388,235t5k,Øst Politidistrikt,202,4,Nes,235t5k-0,Årnes Bru på FV177 vil bli fysisk stengt kl 15:00 med skiltet omkjøring. Meldt til oss fra VTS. Årsak høy vannføring. ,2023-08-11 10:57:41.353537800+00:00,
8055,23wcnp,Trøndelag Politidistrikt,209,13,Åfjord,23wcnp-0,En mann har knust et vindu på en buss som sto parkert. Politiet er på stedet. Mulig at det er flere busser som har fått skadeverk ved at vinduer har blitt knust.,2023-09-02 21:29:46.484906200+00:00,
8356,23lspz,Agder Politidistrikt,205,2,Kristiansand,23lspz-0,En person ble tidligere i natt bortvist fra sentrum etter å ha forstyrret ro og orden pga sin væremåte. Personen etterkom ikke pålegget og kom tilbake til sentrum etter kort tid. Personen er innbrakt til arresten og anmeldes for brudd på pålegg.,2023-08-31 22:42:08.657411100+00:00,
16000,23fs14,Sør-Øst Politidistrikt,204,4,Holmestrand,23fs14-0,00:29 UP stoppen en mann i 20 årene fra Farsund. Han kjørte i 130 km/t i 100 sona. Mannen hadde et antall prikker allerede som medførte at han mistet førerkortet. Sak opprettet. ,2023-06-30 22:50:03.056788100+00:00,
4210,23s4tx,Vest Politidistrikt,207,4,Askøy,23s4tx-0,"Kl 1604 meldt om trafikkulykke på Hanøy. Fremstår som jente på sykkel og bil har hatt ein samanstøyt. Jenta er 10 år - sendt Haukeland sjukehus. Ho var vaken og medviten. Hendinga ettermeldt, skjedde ca 1430. Politiet jobbar med å innhenta meir info.",2023-09-27 14:24:40.302301300+00:00,
15077,23891c,Sør-Øst Politidistrikt,204,0,Sandefjord,23891c-0,kl 09:29 - Melding om at i løpet av natten har vært innbrudd i et fjøs. Det skal ha vært noen som har brutt seg inn i personalskap. Patrulje har vært på stedet og gjennomført en åstedsundersøkelse. Det er borttatt to nettbrett. Politiet oppretter sak.,2023-07-13 09:05:15.575012800+00:00,
12993,23kxdb,Trøndelag Politidistrikt,209,5,Orkland,23kxdb-0,"Melding om trafikkulykke på Hemnevegen på Fannrem. Enslig bil har kjørt i autovernet. En person er involvert, fremstår ikke alvorlig skadd. Vedkommende blir ivaretatt av helse. Politiet er på stedet og dirigerer trafikken forbi frem til bilberging er på stedet..",2023-07-29 11:11:17.975500400+00:00,
1093,23n6zv,Trøndelag Politidistrikt,209,4,Lierne,23n6zv-0,Melding om påkjørsel av to reinsdyr. Reineier varslet. ,2023-10-17 19:07:59.319798600+00:00,
7718,23vhkq,Innlandet Politidistrikt,203,4,Gjøvik,23vhkq-0,"Politiet har gjennomført trafikkontroll. Kontrollert 170 førere, ingen reaksjoner. ",2023-09-05 12:36:04.046702100+00:00,
15189,23trkz,Trøndelag Politidistrikt,209,5,Orkland,23trkz-0,"Melding om en arbeidsulykke på Grønøra industripark. En mann i 30 åra skal være skadd, men er våken. Får behandling av helse på stedet.",2023-07-12 07:39:36.024950500+00:00,
12295,23jlp9,Vest Politidistrikt,207,12,Bergen,23jlp9-0,kl. 2105: vi har vært på stedet sammen med ambulanse etter melding om en voldshendelse med stikkgjenstand. Vi ankom stedet etter kort tid og fikk umiddelbart kontroll på to involverte personer. En mann i 50-årene pågrepet og innsatt i arrest. ,2023-08-04 20:06:43.181633100+00:00,
6446,239qs6,Trøndelag Politidistrikt,209,4,Verdal,239qs6-0,"Sammenstøt mellom buss og traktor i Hamnevegen, som nå er sperret.  Patrulje er på vei til stedet.",2023-09-13 11:29:42.596222100+00:00,
12924,230llb,Nordland Politidistrikt,210,10,Vågan,230llb-0,Oppsummert Cubafestivalen: Forløpt greit uten hendelser som har krevd politiets assistanse. ,2023-07-29 23:25:33.572053300+00:00,
10062,23xsz9,Agder Politidistrikt,205,4,Kristiansand,23xsz9-0,Kl 0253. UP stanset bil i forbindelse med kontroll på Rundingen der fører mistenkes for promillekjøring. Nødvendig prøve er sikret og sak opprettes. Førerkort er tatt i beslag. ,2023-08-20 03:52:59.734025600+00:00,
16322,2306v1,Sør-Øst Politidistrikt,204,2,Porsgrunn,2306v1-0,"00:50 Fikk vi melding om bålbrenning og festbråk. Da vi var på stedet verken hørte eller så vi noe, men da vi fikk ny melding kl 0320, så fant vi festen. En gjeng som hadde satt opp telt på stedet. De ble formant til å avslutte støyen.",2023-06-24 02:39:16.160255800+00:00,
1749,23ck1b,Møre og Romsdal Politidistrikt,208,4,Ålesund,23ck1b-0,Up har stanset en bilfører som anmeldes for å ha kjørt bil i ruspåvirket tilstand. Vedkommende har ikke førerkort. Blodprøvetaking. Sak opprettes.,2023-10-13 22:18:00.144069200+00:00,
7904,23vtl9,Øst Politidistrikt,202,4,Nordre Follo,23vtl9-0,Kl 0655; Trafikkuhell med 2 biler involvert. 1 bil overholder ikke vikeplikt i krysset. En dame i 50 årene tilsees ambulansepersonell på stedet. Uskadd. Mann i 50 årene får et forenklet forelegg for brudd på vikeplikten.,2023-09-04 05:48:29.211249100+00:00,
16972,23k6dj,Sør-Øst Politidistrikt,204,2,Tønsberg,23k6dj-0,22:31 Melding fra et utested om en utagerende mann. Politiet til stedet og en mann i 50 årene ble bortvist. ,2023-06-10 20:43:19.737464700+00:00,
11356,23nncq,Sør-Øst Politidistrikt,204,4,Sandefjord,23nncq-0,"Politiet er på Raveien, mellom Skolmar og Pindsle, etter melding om en påkjørt lyktestolpe ifm. kantslått. E-verket er på vei. Det er manuell dirigering på stedet inntil videre.",2023-08-11 13:54:29.359192100+00:00,
13637,2375rk,Møre og Romsdal Politidistrikt,208,3,Giske,2375rk-0,Det brenner i et spisested på Vigra på Roald. Bygget er overtent. Det er mye røyk i området. De nærmeste beboerne blir evakuert fra stedet. Nødetatene er på stedet. Kommunen bistår ifb med å ta vare på de evakuerte. Det er ikke meldt om skadde personer på stedet. ,2023-07-24 02:19:55.112807200+00:00,
17141,2305d8,Sør-Øst Politidistrikt,204,4,Drammen,2305d8-0,11:02 - Nødetatene rykker ut etter melding om en bil som har kjørt i autovernet på E134 ved Kiwi. Bilen er ikke kjørbar. Det er ukjent om noen er skadd. ,2023-06-05 09:12:07.712747200+00:00,
13573,2386d7,Troms Politidistrikt,211,2,Tromsø,2386d7-0,Kvinne i 50-årene sparket til en dørvakt på et utested. Anmeldes for ordensforstyrrelse.,2023-07-24 20:44:22.531066800+00:00,
5786,23t1pw,Innlandet Politidistrikt,203,2,Gjøvik,23t1pw-0,"Kl 0319. Meldt om slagsmål utenfor serveringssted. Politiet har skilt partene, ingen personer skadd. De involverte bortvises fra sentrum, ikke kjent om de vil anmelde hverandre.",2023-09-17 01:49:27.943236500+00:00,
3641,23sx5n,Innlandet Politidistrikt,203,4,Østre Toten,23sx5n-0,kl.0602:  Melding om en enslig bil som har kjørt i midtdeler og så ut av av vegen på fv33. To personer i bilen. Begge tatt med til legevakta for sjekk. Ikke mistanke om ruspåvirket kjøring. ,2023-10-01 05:07:23.759277800+00:00,
9386,23b1th,Trøndelag Politidistrikt,209,4,Åfjord,23b1th-0,Kl. 22.08: Gutt i tenårene veltet på ATV. Fører klager på smerter. Brannvesenet er på stedet. Politi og amb er på tur. ,2023-08-24 20:30:06.962641+00:00,
