,parent_id,district,districtId,label,municipality,message_id,text,createdOn,updatedOn
14928,23bg6t,Agder Politidistrikt,205,1,Arendal,23bg6t-0,Kl. 1108. Bil har fått stans på E18 ved avkjøring Stoa. Retning øst. Punktering. Politiet bistår på stedet. Bil berger er varslet. ,2023-07-14T09:25:37.8251194+00:00,
3095,23jvdz,Sør-Øst Politidistrikt,204,4,Holmestrand,23jvdz-3,Fører og passasjer i bilen er kjørt til Drammen sykehus. Det opprettes sak og føreren har fått sitt førerkort beslaglagt.,2023-10-05T12:52:39.3496998+00:00,
16140,2363vq,Sør-Øst Politidistrikt,204,1,Porsgrunn,2363vq-3,"Nødetatene ferdig på stedet. Alle involverte har blitt undersøkt. Fører fremstilt for sikring av bevis, grunnet mistanke om kjøring i ruspåvirket tilstand. Førerkort er beslaglagt og politiet oppretter sak.",2023-06-28T00:19:43.826458+00:00,
6450,236n0x,Trøndelag Politidistrikt,209,1,Indre Fosen,236n0x-0,"UP stanset motorsykkel uten skilt, der fører mistenkes for ruskjøring. Anmeldes.",2023-09-13T10:51:58.9520516+00:00,
2432,23zv58,Finnmark Politidistrikt,212,7,Vadsø,23zv58-0,: Politiet kjører utrykning (øvelse). Regodkjenning av eget mannskap. Kjører på E75 mellom Tana og Vardø.,2023-10-09T08:25:10.0417721+00:00,
16932,23n23b,Sør-Øst Politidistrikt,204,3,Lier,23n23b-0,11:05 Ble det meldt om tyveri av båt og henger. Stjålet i løpet av natten. Båten er hvit med blå bunn og blå kalesje og Mercury påhengsmotor. ,2023-06-11T09:49:05.6036987+00:00,
15791,23rn0l,Sør-Øst Politidistrikt,204,1,Drammen,23rn0l-1,3 fikk forenklet forelegg(FF) for å ha kjørt for fort. Høyeste hastighet 59 km/t. En fikk FF brudd på vikeplikt. En fikk FF for manglende sikring av barn. En mann i 30 årene ble anmeldt for kjøring uten gyldig førerkort.,2023-07-06T13:16:45.4832931+00:00,
8885,231qrv,Sør-Øst Politidistrikt,204,3,Drammen,231qrv-1,"På mannen ble det også funnet noe narkotika + en kniv. Jourhavende besluttet at mannen,  som er kjent av politiet fra før,  skal pågripes - kjøres nå arrest. Saker opprettet.",2023-08-28T05:42:14.5034963+00:00,
13626,2330pb,Sør-Øst Politidistrikt,204,1,Horten,2330pb-0,Etter en trafikkontroll på RV19 fikk 13 bilførere forenklet forelegg for å ha kjørt for fort i en 80-sone. Høyeste målte hastighet var 107 km/t.,2023-07-24T09:36:06.5573055+00:00,
16722,23pv1s,Sør-Øst Politidistrikt,204,1,Holmestrand,23pv1s-0,En MC fører har kjørt ut av veien.  Nødetatene er på vei. Skjedd i sørgående retning. ,2023-06-15T12:43:03.9727198+00:00,
5233,23m217,Agder Politidistrikt,205,5,Arendal,23m217-0,Politiet har kjørt hjem en beruset person fra Strømsbusletta. ,2023-09-21T04:10:36.4675138+00:00,
6372,23f9lx,Agder Politidistrikt,205,1,Kristiansand,23f9lx-0,"UP har hatt fartskontroll i 90-sone på E19. Skrev ut 2 forelegg, høyeste hastighet 126 km/t. ",2023-09-13T17:59:50.5810575+00:00,
8338,23cjgs,Sør-Øst Politidistrikt,204,3,Holmestrand,23cjgs-1,"Båtpatruljen pågrep en mann i 20 årene for tyveri av vannscooteren, samt en EL sykkel som også var i båten. Vedkommende anmeldes også for båtkjøring i ruspåvirket tilstand. Vannscooteren er tilbakelevert eier og pågrepne er innsatt i arrest.",2023-09-01T02:56:18.9525536+00:00,
12888,23gkbr,Sør-Øst Politidistrikt,204,5,Kongsberg,23gkbr-0,02:05 Melding om truende mann på et utested. Truende overfor andre gjester. Vekter hadde forsøkt å få mannen til gå fra stedet. Politiet har vært på stedet og mannen i 50 årene ble bortvist fra stedet i 24 timer.  ,2023-07-30T02:50:00.606309+00:00,
8276,23l40t,Vest Politidistrikt,207,1,Bergen,23l40t-1,Trafikkulykken har skjedd i veien ned mot Kringlebotn skole. Politiet jobber med å få oversikt over hendelsesforløpet. Pr nå er det en person som er kjørt i amb til HUS.,2023-09-01T13:56:05.9639072+00:00,
13621,23kfnr,Trøndelag Politidistrikt,209,1,Stjørdal,23kfnr-0,Utrykningspolitiet har hatt laserkontroll på E6 Skatval. Resultat her ble 9 forenklede forelegg der høyeste hastighet var 86 km/t i 70-sone.,2023-07-24T11:06:37.5314554+00:00,
12893,23rcbj,Trøndelag Politidistrikt,209,0,Heim,23rcbj-1,"Ingen brudd på boligen, eller tegn til at noe er borttatt - vi har søkt etter gjerningsmannen uten å ha funnet han i området. Vi avslutter.",2023-07-30T02:50:55.4804561+00:00,
17259,233s20,Sør-Øst Politidistrikt,204,1,Skien,233s20-0,UP har avholdt fartskontroll i 50 km/t sone. 12 førere fikk forenklet forelegg. Høyeste hastighet var 65 km/t. ,2023-06-02T13:18:59.2547862+00:00,
12807,23gqws,Sør-Øst Politidistrikt,204,1,Tønsberg,23gqws-0,"Kl. 0025: Politiet forsøkte og stanse et stjålet kjøretøy på E18 fra Lier til Tønsberg. Bilen var stjålet fra Øst politidistrikt. Fører, en gutt i tenåra stanset ikke for veisperring og kjørte ned to bommer ved stengte tunneler langs E18. ",2023-07-31T04:29:07.47108+00:00,
10737,236dqz,Trøndelag Politidistrikt,209,5,Trondheim,236dqz-0,Politiet har kontroll på 2 personer på Havstein etter at vi mottok melding om at de jaget hverandre med gardinstang og kniv. En mann som også hadde en hammer på seg blir pågrepet. Kontroll på stedet.,2023-08-15T16:47:00.7989269+00:00,
5600,231603,Sør-Øst Politidistrikt,204,4,Lier,231603-1,"Mye annen trafikk på stedet, men virker ikke å være andre involvert.",2023-09-18T14:00:05.7565213+00:00,
1327,23gq68,Sør-Øst Politidistrikt,204,4,Øvre Eiker,23gq68-1,Bilberger har berget bilen. Nødetater avslutter på stedet.,2023-10-16T02:45:04.7907425+00:00,
15584,23b9m1,Sør-Øst Politidistrikt,204,7,Sandefjord,23b9m1-2,"Kl 1639 fikk vi ny melding om at en person drev og rev i dører i samme området. Politiet har vært på stedet igjen og en av de som ble bortvist i stad, var nok en gang på stedet. Han ble innbrakt til arresten og anmeldes.",2023-07-08T15:58:54.0547208+00:00,
3857,2391m5,Sør-Øst Politidistrikt,204,7,Tønsberg,2391m5-0,Det har vært en rolig natt i Sør-Øst politidistrikt. Totalt fem personer er kjørt til våre tre arrester i løpet av natten. De viktigste hendelse er lagt ut her. ,2023-09-30T04:11:55.2125303+00:00,
7853,239zff,Innlandet Politidistrikt,203,1,Gran,239zff-0,#Jarenvegen: Avholdt trafikkontroll i 50-sonen. 7 stk er ilagt forenklede forelegg. Høyeste fart var 67 km/t.,2023-09-04T13:52:48.7143039+00:00,
10257,230z9w,Øst Politidistrikt,202,10,Lillestrøm,230z9w-0,"Sibirsk husky savnet fra adresse på Slattum. Ble borte i går kveld. Hunden er en tispe, er hvit/grå, lyder navnet ""Arya"" og har trolig på seg trekksele og langline. Kontakt 02800 hvis du ser hunden.",2023-08-19T06:55:17.1734681+00:00,
2327,23rhg5,Nordland Politidistrikt,210,1,Hadsel,23rhg5-0,Melding om en trailer som har kjørt inn i en tunnel som var stengt for vedlikehold. Tunnelen var stengt med rødt lys og bom som sperret det ene kjørefeltet. Politiet dro til stedet. Fører av trailer ble ilagt et ff for kjøring på rødt lys.,2023-10-10T00:47:15.4981156+00:00,
7088,23psvj,Sør-Øst Politidistrikt,204,2,Horten,23psvj-3,Brann har iverksatt slukking.,2023-09-09T08:21:37.3624253+00:00,
16901,23h1rb,Sør-Øst Politidistrikt,204,2,Færder,23h1rb-1,Brannvesenet har slokket ulmingen. Politiet avslutter på stedet.,2023-06-12T04:34:36.8193878+00:00,
17387,23h0ws,Sør-Øst Politidistrikt,204,1,Tokke,23h0ws-1,Nødetatene er på stedet. Fører er ute av bilen. Skal ha vært alene i bilen. Fører blir tilsett av helsepersonell på stedet. ,2023-05-29T13:42:22.224746+00:00,
442,23d0f8,Vest Politidistrikt,207,5,Bergen,23d0f8-0,"Kl 2151: meldt om en svært utagerende og verbalt skremmende mann på buss retning sentrum. Patrulje kontroll på mann i 20-årene, overtatt av helse. Ingen skadet.",2023-10-21T21:00:55.4155871+00:00,
2214,23r6r6,Vest Politidistrikt,207,2,Bergen,23r6r6-0,"Kl 2059: 110-sentralen melder om røyk inne i murbygning, nr. 1 C. Lukter svidd. Ingen brann observert. Brann og politi på staden for å undersøke. Ikke meldt verken personskader eller evakuering. ",2023-10-10T19:07:01.9315249+00:00,
