parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
2364ts,Sør-Øst Politidistrikt,204,Trafikk,Skien,2364ts-0,"UP har hatt laserkontroll i 50 sonen ved Gjerpen kirke. 
3 stk fikk forenkla forelegg. Høyeste hastighet ble målt til 61 km/t. ",2023-11-08T11:42:22.9292112+00:00,
23v1t5,Vest Politidistrikt,207,Trafikk,Bergen,23v1t5-0,"Kl. 1221: Vegtrafikksentralen har stengt tunnelen. Kjøretøystans. 
Kl. 1235: Tunnelen åpnet opp igjen. Bilberger har fått ut bilen. ",2023-11-08T11:37:11.7290626+00:00,
23htln,Agder Politidistrikt,205,Trafikk,Kristiansand,23htln-0,"UP har hatt laserkontroll på rv. 9 ved Krossen. Utstedt 7 forenklede forelegg, høyeste hastighet 59 km/t i 50-sone.",2023-11-08T11:20:54.1077698+00:00,
233wtk,Trøndelag Politidistrikt,209,Brann,Trondheim,233wtk-0,"Meldt om et mindre branntilløp på Lade som trolig fant sted i går.  På et kommunalt toalett er det tent på noe papir, og det er skader på et stellebord.  Patrulje undersøker åstedet, og vil gå gjennom videoovervåking som kan ha fanget opp hendelsen.",2023-11-08T11:04:39.8144954+00:00,
23rrvc,Innlandet Politidistrikt,203,Trafikk,Eidskog,23rrvc-0,"Kl.0917:  UP har avholdt en adferdskontroll på rv2, og 8 førere har fått utferdiget et forenklet forelegg for brudd på ""stoppskilt"".",2023-11-08T10:30:55.2812476+00:00,
23dnvs,Troms Politidistrikt,211,Trafikk,Målselv,23dnvs-0,Melding om trafikkulykke på FV87 like ved Øverbygd kirke. En lastebil har veltet. Alle de involverte er ute av kjøretøyet og ved bevissthet. Vegen er sperret. Nødetatene er på vei til stedet. Meldingen oppdateres.,2023-11-08T10:13:09.503142+00:00,
23dnvs,Troms Politidistrikt,211,Trafikk,Målselv,23dnvs-1,Oppdatering: Vi er fremme på stedet. Trafikken dirigeres forbi ulykkesstedet. Det aktuelle kjøretøyet var en del av en militær kolonne med flere kjøretøy. De 3 personene som var i lastebilen får tilsyn av ambulansepersonell på stedet. Bilberging er rekvirert.,2023-11-08T11:00:18.2208788+00:00,
230kv5,Sør-Øst Politidistrikt,204,Redning,Larvik,230kv5-0,"Kl 09:55 Nødetater har rykket ut til Tollerodden etter melding om mulig person i vann. Et vitne hadde hørt en mannsstemme i nærheten, men ikke sett vedkommende. Usikkert om personen er i vannet, men vi sjekker for sikkerhetsskyld.  ",2023-11-08T09:18:28.2693003+00:00,
230kv5,Sør-Øst Politidistrikt,204,Redning,Larvik,230kv5-1,Nødetater har undersøkt området. Dykkere har vært i vannet og søkt uten funn. Vi avslutter søket.,2023-11-08T09:59:21.5654814+00:00,
237wcx,Trøndelag Politidistrikt,209,Trafikk,Midtre Gauldal,237wcx-0,"Politiet har hatt trafikkontroll ved Meldal barne- og ungdomsskole. Her ble det kontrollert 50 biler. Det ble gitt noen advarsler på sikring av barn i bil, samt gitt ut reflekser.",2023-11-08T08:41:13.6685325+00:00,
2370x5,Sør-Øst Politidistrikt,204,Trafikk,Sandefjord,2370x5-0,"Politiet har hatt trafikkontroll med fokus på adferd i trafikken. 
50 stk ble kontrollert. Alle ok. ",2023-11-08T08:34:46.8479486+00:00,
23wzxl,Sør-Øst Politidistrikt,204,Brann,Horten,23wzxl-0,09:25 Nødetater har rykket ut på melding om røykutvikling i et teknisk rom. Alle på stedet er evakuert ut. Ingen personer virker å være skadet. ,2023-11-08T08:32:09.6617332+00:00,
23wzxl,Sør-Øst Politidistrikt,204,Brann,Horten,23wzxl-1,Alle nødetater er ferdig på stedet. Brannvesenet har ikke funnet noen årsak. Elektriker blir kalt inn for å undersøke videre.,2023-11-08T09:24:16.9347133+00:00,
23jvxg,Nordland Politidistrikt,210,Andre hendelser,Bodø,23jvxg-0,Nødetatene  og Avinor gjennomfører øvelse ved Bodø lufthavn. Til info. ,2023-11-08T08:15:24.4687431+00:00,
234qzc,Vest Politidistrikt,207,Redning,Bergen,234qzc-0,Kl. 0846: Igangsatt redningsaksjon på toppen av Stoltzekleiven etter melding om en mannsperson som falt utfor en kant. Høyde ca. 20 meter. Politiet i kontakt med vedkommende pr. tlf. Opplyser trolig brudd i beina. Politiet er på staden sammen med luftamb.,2023-11-08T08:11:09.7514725+00:00,
234qzc,Vest Politidistrikt,207,Redning,Bergen,234qzc-1,Lege og politi er fremme hos pasienten. Mann i 40-årene. Våken og klar. Klatregruppe fra Bergen brannvesen også kalt ut og på veg.,2023-11-08T08:13:49.7664252+00:00,
