,parent_id,district,districtId,label,municipality,message_id,text,createdOn,updatedOn
0,23bwlv,Agder Politidistrikt,205,0,Kristiansand,23bwlv-0,Politipatrulje har foretatt åstedsundersøkelse etter melding om innbrudd og tyveri fra arbeidsbil. Det er stjålet diverse verktøy.,2023-10-25T07:58:32.8162991+00:00,
1,23xxqf,Innlandet Politidistrikt,203,1,Vågå,23xxqf-0,"Kl 0847 Større stein har rullet ned i vegbanen ved krysset Ottadalsvegen Fjellvegen. RV15 blir stengt inntil videre.
Omkjøring for personbiler blir via Liavegen mellom Lom & Vågå. Tungtransport må vente.",2023-10-25T07:21:53.5680322+00:00,
2,23mtxd,Vest Politidistrikt,207,2,Bergen,23mtxd-0,"KL. 09:04 - melding om røykutvikling/brann i leilighet. Alle nødetatane er på staden. En person er tatt ut og blir undersøkt av helse. Brannen er slukka, og politiet gjer videre undersøkingar på staden. ",2023-10-25T07:20:12.2314459+00:00,
3,237pxt,Agder Politidistrikt,205,3,Birkenes,237pxt-0,"Politipatrulje har foretatt åstedsundersøkelse etter melding om innbrudd og tyveri fra brakkerigg. Det er bla stjålet et skyteapparat, sambandsradioer og kamera. ",2023-10-25T07:03:26.959117+00:00,
4,23xlx6,Sør-Øst Politidistrikt,204,4,Larvik,23xlx6-0,"08:50 Nødetatene er på stedet etter melding om motorsykkelulykke. To motorsykler involvert. Ukjent skadeomfang, men en av sjåførene ligger på bakken. Er våken og bevisst. Trafikken går sakte forbi ulykkesstedet. Oppdateres.",2023-10-25T07:02:48.9910468+00:00,
5,23xlx6,Sør-Øst Politidistrikt,204,4,Larvik,23xlx6-1,"De involverte er to tenåringsgutter på hver sin lett motorsykkel. En av dem har skader i kjeven og smerter i nakken, kjøres akutten i ambulanse. De har kjørt i samme retning og truffet hverandre.",2023-10-25T07:12:04.382539+00:00,
6,23xlx6,Sør-Øst Politidistrikt,204,4,Larvik,23xlx6-2,Nødetatene er ferdige på stedet. Sak opprettes og etterforskes videre.,2023-10-25T08:07:48.2470717+00:00,
7,23jhzl,Sør-Øst Politidistrikt,204,3,Sandefjord,23jhzl-0,07:30 Melding om innbrudd og tyveri fra enebolig. Skjedd i løpet av natten. Gjerningspersonen(e) har rotet mye rundt og det er stjålet blant annet smykker og bankkort. Politiet har undersøkt åstedet og sak opprettes.,2023-10-25T06:39:30.917355+00:00,
8,235dz5,Trøndelag Politidistrikt,209,1,Levanger,235dz5-0,"Melding om trafikkulykke med ett kjøretøy, tre personer involvert. En del skader på kjøretøyet. Alle involverte er våkne og på beina. Veien er sperret for trafikk. ",2023-10-25T06:34:10.7667755+00:00,
9,235dz5,Trøndelag Politidistrikt,209,1,Levanger,235dz5-1,Det er veldig glatt på stedet. Små skader på autovern. Bilen blir flyttet ut av veien slik at trafikken snart kan gå som normalt.,2023-10-25T06:50:51.2216542+00:00,
10,23t8zd,Finnmark Politidistrikt,212,1,Alta,23t8zd-0,": kl. 0800: Politiet har avholdt promillekontroll i Bossekop. 18 bilister kontrollerte. 1 fører stoppet med lav promille. Under 0,5. Vedkommende, mann i 30 årene, tatt med til stasjonen for utåndingsprøve. Sak opprettes.  ",2023-10-25T06:25:44.3342782+00:00,
11,23g5t0,Sør-Øst Politidistrikt,204,1,Drangedal,23g5t0-0,07:25 Melding om vinglebil retning Skien. Kl 07:55 meldte patruljen at bilen var stanset ved Voll i #Skien. Fører var en mann i 40-åra uten gyldig førerkort. Anmeldes.,2023-10-25T06:22:14.0009426+00:00,
12,23225w,Agder Politidistrikt,205,1,Grimstad,23225w-0,Melding om trafikkulykke. Enslig bil ligger på siden. En person ved bilen. Politi og ambulanse på vei.,2023-10-25T06:16:06.1416676+00:00,
13,23225w,Agder Politidistrikt,205,1,Grimstad,23225w-1,Fører tilses av helse på stedet - fremstår ikke alvorlig skadet.,2023-10-25T06:27:40.0151875+00:00,
14,23225w,Agder Politidistrikt,205,1,Grimstad,23225w-2,Det er besluttet førerkortbeslag og sak opprettes.,2023-10-25T08:20:13.1634291+00:00,
15,23rlrx,Vest Politidistrikt,207,1,Sunnfjord,23rlrx-0,"Trafikkuhell like ved Svidalsneset. Bil som har køyrt ut av vegen. Politi og bilberger er på veg. Skal vera glatt på staden, og det blir meldt om noe kø. ",2023-10-25T06:09:42.1347897+00:00,
16,23rlrx,Vest Politidistrikt,207,1,Sunnfjord,23rlrx-1,KL. 09:15 - bilen er fjerna og vegen er open. Ingen skade på person eller kjøretøy. Politiet har avslutta på staden.,2023-10-25T07:22:21.3555506+00:00,
17,23cwnv,Agder Politidistrikt,205,1,Lindesnes,23cwnv-0,Melding om trafikkulykke. En person er påkjørt av bil. Vedkommende er ved bevissthet. Ambulanse og politi på vei. ,2023-10-25T06:07:34.771725+00:00,
18,23cwnv,Agder Politidistrikt,205,1,Lindesnes,23cwnv-1,Pasient tilses av helse på stedet. Trafikale utfordringer. Vts varslet.,2023-10-25T06:10:07.7592032+00:00,
19,23cwnv,Agder Politidistrikt,205,1,Lindesnes,23cwnv-2,Pasient kjøres sykehus for videre undersøkelser. hendelsen har funnet sted i gangfelt. Det er besluttet førerkortbeslag og sak opprettes.,2023-10-25T07:08:52.2166673+00:00,
