parent_id,district,districtId,category,municipality,message_id,text,createdOn,updatedOn
23vs52,Trøndelag Politidistrikt,209,Innbrudd,Stjørdal,23vs52-0,"Restaurant utsatt for innbrudd i natt.  Patrulje har undersøkt åstedet, og oppretter sak.",2023-10-05T09:02:19.9506335+00:00,
23gpln,Øst Politidistrikt,202,Trafikk,Lillestrøm,23gpln-0,"RV22 Fetveien v/Hovinhøgda, UP stanset bil i 122km/t i 80 sone. Fører anmeldt og førerkortet beslaglagt.",2023-10-05T09:00:29.4163731+00:00,
233l0w,Innlandet Politidistrikt,203,Trafikk,Ringsaker,233l0w-0,kl. 10:45: UP har gjennomført en trafikkontroll på Olrud i skiltet 50-sone. Det ble utferdiget 4 forenklede forlegg på fartsoverskridelse. Høyeste hastighet ble målt til 62 km/t. Det ble også ilagt et gebyr for manglende bilbelte bruk. ,2023-10-05T08:56:27.4286327+00:00,
23rg0d,Sør-Øst Politidistrikt,204,Brann,Porsgrunn,23rg0d-0,Melding om brann i en lift. Denne skal stå på en henger på FV32. Trafikken står. Vi er på vei. ,2023-10-05T08:24:49.4629529+00:00,
23rg0d,Sør-Øst Politidistrikt,204,Brann,Porsgrunn,23rg0d-1,De er ved Beha-kvartalet. Det er ikke meldt om personskader. Brannvesen og politiet er på stedet.,2023-10-05T08:26:50.9543668+00:00,
23rg0d,Sør-Øst Politidistrikt,204,Brann,Porsgrunn,23rg0d-2,Brannen er slukket. Det er en  skjerm som har tatt fyr som følge av varmgang i bremser. Kjøretøyene er flyttet og veien åpnet for vanlig ferdsel igjen. Vi er ferdige på stedet.,2023-10-05T08:47:58.3492472+00:00,
23dc0s,Innlandet Politidistrikt,203,Tyveri,Tynset,23dc0s-0,"Kl 0916 Meldt om traktor som hadde veltet ute på et jorde. Nødetatene varslet.
Traktor hadde veltet over på siden, men ikke gått rundt. Fører fremstår uskadd, men kjøres legevakt for sjekk. Ingen lekkasjer. Følges opp videre.",2023-10-05T08:09:43.236902+00:00,
230805,Trøndelag Politidistrikt,209,Innbrudd,Stjørdal,230805-0,"Det ble på morgenkvisten oppdaget et innbrudd i en bedrift på Stjørdal.  Patrulje har foretatt åstedsundersøkelse, og oppretter sak.",2023-10-05T08:02:07.6301707+00:00,
23p41l,Innlandet Politidistrikt,203,Trafikk,Lunner,23p41l-0,"UP har hatt fartskontroll på E16. En bil ble målt til 105km/t i 80sone. I utgangspunktet et forhold som avgjøres med et forenklet forelegg. Fører hadde imidlertid prikker i førerkortet fra før, slik at nå ble det for mange. Førerkortet ble således beslaglagt.",2023-10-05T07:56:47.7857735+00:00,
23911b,Trøndelag Politidistrikt,209,Trafikk,Trondheim,23911b-0,Trafikkuhell i Bjørndalen.  Enslig bil har kjørt inn i autovernet.  Trolig ikke personskade.,2023-10-05T05:50:47.5263024+00:00,
